,0,1,2,3,4,5,6,7,8,9,10,11,12
204,Clove Cocktail,11255,Sweet Vermouth,Sloe gin,Wine,,,,,,,,
205,Clover Club,17186,Gin,Grenadine,Lemon,Egg white,,,,,,,
206,Coffee Liqueur,12798,Coffee,Vanilla extract,Sugar,Vodka,Water,,,,,,
207,Coffee-Vodka,12800,Water,Sugar,Coffee,Vanilla,Vodka,Caramel coloring,,,,,
208,Corn n Oil,17830,Lime,Falernum,Angostura Bitters,Añejo rum,blackstrap rum,,,,,,
209,Corpse Reviver #2,17250,Gin,Triple Sec,Lillet Blanc,Lemon Juice,Absinthe,,,,,,
210,Cosmopolitan,17196,Absolut Citron,Lime juice,Cointreau,Cranberry juice,,,,,,,
211,Cosmopolitan Martini,14133,Cointreau,Vodka,Lime,Cranberry juice,,,,,,,
212,Cranberry Cordial,12802,Cranberries,Sugar,Light rum,,,,,,,,
213,Cream Soda,14608,Spiced rum,Ginger ale,,,,,,,,,
214,Creme de Menthe,12808,Sugar,Water,Grain alcohol,Peppermint extract,Food coloring,,,,,,
215,Cuba Libra,13751,Dark rum,Lime,Coca-Cola,Ice,,,,,,,
216,Cuba Libre,11288,Light rum,Lime,Coca-Cola,,,,,,,,
217,Daiquiri,11006,Light rum,Lime,Powdered sugar,,,,,,,,
218,Damned if you do,13194,Whiskey,Hot Damn,,,,,,,,,
219,Danbooka,15409,Coffee,Everclear,,,,,,,,,
220,Dark and Stormy,17211,Dark Rum,Ginger Beer,,,,,,,,,
221,Dark Caipirinha,17177,demerara Sugar,Lime,Cachaca,,,,,,,,
222,Darkwood Sling,14482,Cherry Heering,Soda water,Orange juice,Ice,,,,,,,
223,Death in the Afternoon,178334,Absinthe,Champagne,,,,,,,,,
224,Derby,17187,gin,Peach Bitters,Mint,,,,,,,,
225,Diesel,13128,Lager,Cider,Blackcurrant cordial,,,,,,,,
226,Dirty Martini,17181,Vodka,Dry Vermouth,Olive Brine,Lemon,Olive,,,,,,
227,Dirty Nipple,14466,Kahlua,Sambuca,Baileys irish cream,,,,,,,,
228,Downshift,16991,Fruit punch,Sprite,Tequila,151 proof rum,,,,,,,
229,Dragonfly,11320,Gin,Ginger ale,Lime,,,,,,,,
230,Dry Martini,11005,Gin,Dry Vermouth,Olive,,,,,,,,
231,Dry Rob Roy,11324,Scotch,Dry Vermouth,Lemon peel,,,,,,,,
232,Dubonnet Cocktail,11326,Dubonnet Rouge,Gin,Bitters,Lemon peel,,,,,,,
233,Duchamp's Punch,17182,Pisco,Lime Juice,Pineapple Syrup,St. Germain,Angostura Bitters,Pepper,Lavender,,,,
234,Empellón Cocina's Fat-Washed Mezcal,17246,Mezcal,Chocolate liqueur,Coffee liqueur,,,,,,,,
235,English Highball,11338,Brandy,Gin,Sweet Vermouth,Carbonated water,Lemon peel,,,,,,
236,English Rose Cocktail,11339,Apricot brandy,Gin,Dry Vermouth,Grenadine,Lemon juice,Cherry,,,,,
237,Espresso Martini,17212,Vodka,Kahlua,Sugar syrup,,,,,,,,
238,Espresso Rumtini,178309,Rum,Vanilla syrup,Espresso,Coffee,,,,,,,
239,Fahrenheit 5000,13070,Firewater,Absolut Peppar,Tabasco sauce,,,,,,,,
240,Flaming Dr. Pepper,13202,Amaretto,Vodka,151 proof rum,Dr. Pepper,Beer,,,,,,
241,Flaming Lamborghini,16485,Kahlua,Sambuca,Blue Curacao,Baileys irish cream,,,,,,,
242,Flander's Flake-Out,13675,Sambuca,Sarsaparilla,,,,,,,,,
243,Flying Dutchman,11368,Gin,Triple sec,,,,,,,,,
244,Flying Scotchman,11369,Scotch,Sweet Vermouth,Bitters,Sugar syrup,,,,,,,
245,Foxy Lady,11375,Amaretto,Creme de Cacao,Light cream,,,,,,,,
246,Freddy Kruger,14688,Jägermeister,Sambuca,Vodka,,,,,,,,
247,French 75,17197,Gin,Sugar,Lemon juice,Champagne,Orange,Maraschino cherry,,,,,
248,French Connection,17198,Cognac,Amaretto,,,,,,,,,
249,French Martini,17213,Vodka,Raspberry Liqueur,pineapple juice,,,,,,,,
250,French Negroni,17248,Gin,Lillet,Sweet Vermouth,Orange Peel,,,,,,,
251,Frisco Sour,11382,Blended whiskey,Benedictine,Lemon,Lime,Lemon,Lime,,,,,
252,Frozen Daiquiri,11387,Light rum,Triple sec,Lime juice,Sugar,Cherry,Ice,,,,,
253,Frozen Mint Daiquiri,11390,Light rum,Lime juice,Mint,Sugar,,,,,,,
254,Frozen Pineapple Daiquiri,11391,Light rum,Pineapple,Lime juice,Sugar,,,,,,,
255,Funk and Soul,178328,Rum,Apricot Nectar,Pomegranate juice,lemon,Soda Water,,,,,,
256,Fuzzy Asshole,15743,Coffee,Peach schnapps,,,,,,,,,
257,Gagliardo,12758,Peach Vodka,Lemon juice,Galliano,Sirup of roses,,,,,,,
258,Gentleman's Club,11396,Gin,Brandy,Sweet Vermouth,Club soda,,,,,,,
259,Gideon's Green Dinosaur,17002,Dark rum,Vodka,Triple sec,Tequila,Melon liqueur,Mountain Dew,,,,,
260,Gimlet,17255,Gin,Lime Juice,Sugar Syrup,Lime,,,,,,,
261,Gin And Tonic,11403,Gin,Tonic water,Lime,,,,,,,,
262,Gin Basil Smash,178314,Gin,Lemon Juice,Sugar Syrup,Basil,,,,,,,
263,Gin Cooler,11407,Gin,Carbonated water,Powdered sugar,Orange spiral,Lemon peel,,,,,,
264,Gin Daisy,11408,Gin,Lemon juice,Sugar,Grenadine,Maraschino cherry,Orange,,,,,
265,Gin Fizz,11410,Gin,Lemon,Powdered sugar,Carbonated water,,,,,,,
266,Gin Rickey,17230,Gin,Grenadine,lemon,Soda Water,Lime,,,,,,
267,Gin Sling,11415,Gin,Lemon,Powdered sugar,Water,Orange peel,,,,,,
268,Gin Smash,11416,Gin,Carbonated water,Sugar,Mint,Orange,Cherry,,,,,
269,Gin Sour,11417,Gin,Lemon juice,Sugar,Orange,Maraschino cherry,,,,,,
270,Gin Squirt,11418,Gin,Grenadine,Powdered sugar,Pineapple,Strawberries,Carbonated water,,,,,
271,Gin Swizzle,11419,Lime juice,Sugar,Gin,Bitters,Club soda,,,,,,
272,Gin Toddy,11420,Gin,Water,Powdered sugar,Lemon peel,,,,,,,
273,Girl From Ipanema,17175,Cachaca,Lemon Juice,Agave Syrup,Champagne,,,,,,,
274,Godchild,11422,Vodka,Amaretto,Heavy cream,,,,,,,,
275,Godfather,11423,Scotch,Amaretto,,,,,,,,,
276,Godmother,11424,Vodka,Amaretto,,,,,,,,,
277,Golden dream,17199,Galliano,Triple Sec,orange juice,Cream,,,,,,,
278,Grand Blue,15427,Malibu rum,Peach schnapps,Blue Curacao,Sweet and sour,,,,,,,
279,Grass Skirt,11433,Gin,Triple sec,Pineapple juice,Grenadine,Pineapple,,,,,,
280,Grasshopper,17200,Green Creme de Menthe,Creme de Cacao,Light cream,,,,,,,,
281,Green Goblin,13497,Cider,Lager,Blue Curacao,,,,,,,,
282,Greyhound,17252,Vodka,Grapefruit Juice,,,,,,,,,
283,Grim Reaper,14642,Kahlua,151 proof rum,Grenadine,,,,,,,,
284,Grizzly Bear,12762,Amaretto,Jägermeister,Kahlua,Milk,,,,,,,
285,H.D.,16262,Whisky,Baileys irish cream,Coffee,,,,,,,,
286,Halloween Punch,178313,Cherry Juice,Orange Peel,Red Chili Flakes,Cloves,Ginger,Vodka,,,,,
287,Happy Skipper,12766,Spiced rum,Ginger ale,Lime,Ice,,,,,,,
288,Harvey Wallbanger,11462,Vodka,Galliano,Orange juice,,,,,,,,
289,Havana Cocktail,11470,Light rum,Pineapple juice,Lemon juice,,,,,,,,
290,Hawaiian Cocktail,11472,Gin,Triple sec,Pineapple juice,,,,,,,,
291,Hemingway Special,17201,Rum,Grapefruit Juice,Maraschino Liqueur,Lime Juice,,,,,,,
292,Herbal flame,15813,Hot Damn,Tea,,,,,,,,,
293,Highland Fling Cocktail,11476,Scotch,Sweet Vermouth,Orange bitters,Olive,,,,,,,
294,Homemade Kahlua,17044,Sugar,Corn syrup,Coffee,Vanilla extract,Water,Vodka,,,,,
295,Honey Bee,178316,White Rum,Honey,Lemon Juice,,,,,,,,
296,Horse's Neck,17202,Lemon peel,Brandy,Ginger ale,Bitters,,,,,,,
297,Hot Creamy Bush,14782,Irish whiskey,Baileys irish cream,Coffee,,,,,,,,
298,Hunter's Moon,17239,Vermouth,Maraschino Cherry,Sugar Syrup,Lemonade,Blackberries,,,,,,
299,Ice Pick #1,13539,Vodka,Iced tea,Lemon juice,,,,,,,,
300,Iced Coffee Fillip,12772,Kahlua,Coffee,,,,,,,,,
301,Imperial Cocktail,12706,Lime juice,Gin,Aperol,,,,,,,,
302,Imperial Fizz,11524,Light rum,Blended whiskey,Lemon,Powdered sugar,Carbonated water,,,,,,
303,Irish Coffee,13971,Irish whiskey,Coffee,Sugar,Whipped cream,,,,,,,
